,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_240_after,direction_agg_0_240_after
66,2007-03-15 12:00:00,53,-3.8,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,11,3,1,14,-9,12,-2,6,-2,5,-5,20,-10,4,-9,24,-12,25,-16,20,10,-11,1
67,2007-03-16 10:00:00,58,-1.2,0,-2.0,0,0,0,1,0,0,1,1,0,0,2007,11,4,1,8,-3,5,-1,4,-1,7,-5,4,-1,4,-3,13,-6,14,-3,23,-2,-15,1
68,2007-03-19 13:00:00,44,-2.0,0,-1.0,0,0,0,1,0,0,1,0,1,0,2007,12,0,1,4,4,7,2,7,-3,5,-5,5,-5,6,-5,16,-6,16,-2,13,-2,5,1
69,2007-03-21 10:30:00,18,0.87,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,2,1,5,0,5,1,7,0,5,1,5,0,5,-1,10,2,10,-3,9,1,66,2
70,2007-03-21 14:15:00,26,0.0,0,0.0,0,1,0,0,1,0,0,1,0,0,2007,12,2,1,41,28,38,66,25,53,21,69,15,58,12,67,82,78,82,71,49,3,82,2
71,2007-03-22 08:30:00,69,-0.19,0,1.41,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,12,-7,8,-7,8,-7,8,-3,6,-3,4,-3,16,-6,18,0,20,-8,0,1
72,2007-03-22 10:00:00,7,-0.2,0,-0.4,0,0,0,1,0,0,1,0,1,0,2007,12,3,1,11,7,10,12,5,11,5,12,6,10,5,8,14,2,16,3,22,6,-36,0
73,2007-03-22 10:30:00,46,3.17,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,5,-2,5,-5,3,-5,4,-7,6,-6,4,-6,17,-12,19,-12,22,8,-43,0
74,2007-03-23 10:00:00,23,1.0,0,-0.02,0,0,1,0,1,0,0,1,0,0,2007,12,4,1,16,-11,9,-7,9,-14,14,-24,11,-24,6,-24,37,-32,37,-26,29,-9,-32,0
75,2007-03-26 10:00:00,47,-137.0,0,-55.0,0,0,0,1,0,0,1,1,0,0,2007,13,0,1,21,22,14,33,4,32,10,38,6,47,7,49,46,35,46,33,53,28,37,2
