,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_60_after,reaction_min_0_60_after
178,2007-12-28 10:00:00,21,-1.75,1,-0.54,0,0,0,1,0,0,1,1,2007,52,4,1,39,8,-25,1
179,2007-12-31 10:00:00,14,0.33,1,-1.01,0,0,1,0,1,0,0,1,2007,52,0,1,63,-41,-52,1
180,2008-01-02 10:00:00,17,-4.59,1,0.0,0,0,0,1,1,0,0,1,2008,1,2,1,49,-5,-37,1
181,2008-01-03 08:15:00,0,-0.06,0,-0.8,1,1,0,0,0,0,1,1,2008,1,3,1,42,-20,-53,1
182,2008-01-04 08:30:00,22_33,-3.5300000000000002,4,0.44,0,0,0,2,1,1,0,2,2008,1,4,2,126,20,-88,1
183,2008-01-04 10:00:00,18,0.18,0,0.0,0,0,1,0,1,0,0,1,2008,1,4,1,77,-23,-29,1
184,2008-01-08 10:00:00,24,-0.3,0,3.94,3,0,0,1,0,1,0,1,2008,2,1,1,36,20,-26,1
185,2008-01-11 08:30:00,31,-2.34,1,0.0,0,0,0,1,1,0,0,1,2008,2,4,1,34,0,-7,0
186,2008-01-15 08:30:00,10_29_23,-1.81,2,-2.61,2,0,0,3,1,0,2,3,2008,3,1,3,44,17,-14,0
187,2008-01-16 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2008,3,2,1,42,18,-23,0
188,2008-01-16 09:00:00,30,0.25,0,0.0,1,0,1,0,1,0,0,1,2008,3,2,1,39,1,-5,0
189,2008-01-17 08:30:00,3,-3.13,1,-0.52,0,0,0,1,1,0,0,1,2008,3,3,1,42,8,-18,0
190,2008-01-18 10:00:00,28,2.4,1,0.87,1,0,1,0,0,1,0,1,2008,3,4,1,40,-24,-44,1
191,2008-01-24 08:30:00,32,1.1,1,-0.31,0,0,1,0,1,0,0,1,2008,4,3,1,38,-22,-21,0
192,2008-01-24 10:00:00,14,-0.62,0,0.0,0,0,0,1,1,0,0,1,2008,4,3,1,35,13,-12,0
193,2008-01-28 10:00:00,21,-0.97,0,-0.41,0,0,0,1,0,0,1,1,2008,5,0,1,62,42,-6,0
194,2008-01-29 08:30:00,8,1.44,1,0.29,0,0,1,0,0,1,0,1,2008,5,1,1,28,-12,-14,0
195,2008-01-29 10:00:00,4,0.31,0,3.47,1,0,1,0,0,1,0,1,2008,5,1,1,18,-1,-24,1
196,2008-01-30 08:15:00,0,1.27,1,-0.27,0,0,1,0,1,0,0,1,2008,5,2,1,42,8,-25,1
197,2008-01-30 08:30:00,1,1.0,0,1.0,0,0,0,1,0,1,0,1,2008,5,2,1,52,-37,-30,1
198,2008-01-30 14:15:00,15,0.0,0,-1.75,3,1,0,0,1,0,0,1,2008,5,2,1,80,9,-51,1
199,2008-02-01 08:30:00,22_33,-0.18000000000000005,2,1.36,1,0,1,1,1,1,0,2,2008,5,4,2,71,1,-60,1
200,2008-02-01 10:00:00,17,3.03,1,0.0,0,0,1,0,1,0,0,1,2008,5,4,1,115,-72,-37,1
201,2008-02-05 10:00:00,18,-7.13,2,-1.7,3,0,0,1,1,0,0,1,2008,6,1,1,70,-36,-12,0
202,2008-02-07 08:30:00,32,-0.47,1,-0.88,1,0,0,1,1,0,0,1,2008,6,3,1,47,-12,-89,1
203,2008-02-07 10:00:00,24,-0.1,0,-0.31,1,0,0,1,0,0,1,1,2008,6,3,1,34,8,-34,1
204,2008-02-13 08:30:00,10_29,1.26,1,0.55,0,0,2,0,1,1,0,2,2008,7,2,2,23,7,-45,1
