,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_90_after,direction_agg_0_90_after
64,2007-02-22 10:30:00,18_46,0.95,2,0.0,0,2,0,0,2,0,0,0,2,0,2007,8,3,2,5,2,2,4,3,1,8,-2,-4,6,-3,-1,4,-5,-2,5,-3,2,16,6,22,2
65,2007-02-27 08:30:00,14_20,-19.5,0,2.4,0,0,0,5,0,3,2,1,0,1,2007,9,1,2,13,11,6,6,10,-1,6,12,3,11,6,-7,6,4,-3,12,11,7,32,15,6,1
66,2007-02-27 09:00:00,65,-0.4,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,9,1,1,4,-2,-2,4,-2,-1,4,-5,-3,6,-4,0,7,-1,3,5,-5,-4,23,13,-10,1
67,2007-02-27 10:00:00,64_23_6,-2.0,0,2.7,0,0,6,1,4,3,0,2,1,0,2007,9,1,3,19,-13,-11,12,-22,-12,6,-23,-1,8,-17,5,4,-16,2,7,-12,3,26,4,-7,1
68,2007-02-28 08:30:00,55_54,0.3999999999999999,0,0.0,0,0,1,3,4,0,0,1,1,0,2007,9,2,2,14,-8,-6,15,4,11,8,0,-3,9,2,3,11,-5,-9,7,-5,1,26,22,-10,1
69,2007-02-28 09:45:00,10,-4.2,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,9,2,1,7,-6,-4,5,-4,2,5,-4,2,6,1,0,6,-1,0,3,-2,0,26,-12,-3,1
70,2007-02-28 10:00:00,47,-429.0,0,3.0,0,0,0,3,0,3,0,1,0,0,2007,9,2,1,6,5,0,6,3,0,3,2,0,6,3,2,5,2,1,14,-8,-10,20,-1,3,1
71,2007-02-28 10:30:00,18,-0.33,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,2,1,14,-9,-10,9,-1,6,5,-3,-2,10,-1,1,8,3,5,13,11,9,30,-8,26,2
72,2007-03-01 00:00:00,67,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,9,3,1,6,1,2,5,0,-2,9,1,3,5,0,0,5,1,-1,3,1,-1,10,-1,-2,1
73,2007-03-01 08:30:00,69_15_52_51,6.41,0,-0.77,0,0,6,1,7,0,0,1,2,1,2007,9,3,4,8,2,3,9,4,3,9,1,-2,6,-4,-3,5,-3,0,7,0,2,19,-1,3,1
74,2007-03-01 09:30:00,46,1.15,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,3,1,11,5,4,6,2,-5,7,-3,-3,4,0,2,7,2,1,13,-8,-10,18,0,-51,0
75,2007-03-01 10:00:00,11_38_39,3.7,0,1.0,0,0,4,1,4,1,0,1,2,0,2007,9,3,3,17,-14,-9,8,-11,2,8,-18,-6,22,-37,-18,15,-24,13,10,-30,-7,40,-10,-42,0
76,2007-03-02 10:00:00,63,-5.4,0,-7.2,0,0,0,2,2,0,0,0,0,1,2007,9,4,1,8,5,4,12,1,-5,8,-1,-2,15,-5,-3,5,-7,-2,5,-8,0,21,-5,10,1
77,2007-03-05 10:00:00,40,-8.7,0,0.0,0,0,0,3,3,0,0,1,0,0,2007,10,0,1,14,13,11,11,7,-5,7,9,2,7,9,-2,2,12,2,7,12,0,40,14,4,1
78,2007-03-06 08:30:00,61_62,0.8,0,0.0,0,2,1,0,3,0,0,0,1,1,2007,10,1,2,10,-5,-5,7,-8,-1,8,-8,-1,5,-6,2,5,-12,-4,4,-12,0,14,-2,-7,1
79,2007-03-06 10:00:00,50_24,-8.299999999999999,0,0.7999999999999998,0,0,0,5,0,2,3,1,0,1,2007,10,1,2,6,0,-2,10,-4,-5,5,1,3,4,2,1,4,2,1,6,-2,-3,18,10,5,1
80,2007-03-07 08:15:00,0,-86.0,0,-62.0,0,0,0,2,0,0,2,0,0,1,2007,10,2,1,12,4,3,9,-3,-6,6,-1,3,3,0,0,4,2,2,5,4,1,17,3,1,1
81,2007-03-07 10:30:00,18,-3.14,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,2,1,7,5,5,4,4,-1,5,-1,-3,5,2,1,7,-1,-3,5,-1,0,21,10,1,1
82,2007-03-07 15:00:00,12,-0.6,0,-1.0,0,0,0,1,0,0,1,0,1,0,2007,10,2,1,7,-1,-2,6,0,3,4,-1,-1,4,-2,0,6,-4,-2,4,-5,-2,24,21,-8,1
83,2007-03-08 08:30:00,69,-0.1,0,-1.3,0,1,0,0,1,0,0,0,1,0,2007,10,3,1,8,-6,-6,5,-6,1,17,-7,-2,10,-10,-1,8,-6,5,20,-18,-12,19,2,-35,0
