,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,direction_candle_0_5_after,direction_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,direction_candle_5_10_after,direction_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,direction_candle_10_15_after,direction_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,direction_candle_15_20_after,direction_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,direction_candle_20_25_after,direction_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,direction_candle_25_30_after,direction_agg_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_240_after,direction_agg_0_240_after
56,2007-02-15 10:30:00,46,-0.07,-0.07,1,0,0,1,0,0,0,1,0,2007,7,3,1,17,14,16,1,1,4,13,0,0,1,11,17,7,0,1,28,-6,-21,-2,0,9,-5,1,0,0,5,-2,2,0,0,17,-12,-9,0
57,2007-02-15 12:00:00,53,-1.42,-1.42,0,0,2,2,0,0,0,0,1,2007,7,3,1,10,9,8,0,0,8,8,-1,0,0,10,0,-8,0,0,5,2,2,0,0,9,8,4,0,0,7,4,-3,0,0,18,-1,3,0
58,2007-02-15 13:00:00,44,0.71,0.71,0,1,0,1,0,0,0,1,0,2007,7,3,1,8,-8,-6,0,0,7,-10,-2,0,-1,4,-7,3,0,0,4,-7,0,0,0,6,-5,0,0,0,6,-4,3,0,0,26,-12,3,0
59,2007-02-16 08:30:00,49_16_4_36,-6.39,-6.39,7,0,2,9,0,0,1,0,3,2007,7,4,4,13,13,7,0,1,7,16,3,0,1,20,-3,-18,-1,0,10,-16,-7,0,-1,10,-13,4,0,-1,11,-9,6,0,0,25,0,11,1
60,2007-02-16 10:00:00,58,-2.13,-2.13,0,0,3,0,0,3,1,0,0,2007,7,4,1,15,-7,-8,0,0,7,-2,4,0,0,4,-3,1,0,0,4,-4,-2,0,0,3,-4,0,0,0,4,-4,0,0,0,26,12,13,1
61,2007-02-21 08:30:00,13_8,2.13,-1.42,2,3,0,0,0,5,1,0,1,2007,8,2,2,26,-13,-6,0,-1,19,-32,-17,-1,-2,10,-26,7,0,-2,4,-29,-2,0,-2,8,-35,-6,0,-2,5,-30,3,0,-2,31,12,-18,-1
62,2007-02-21 10:00:00,7,-0.71,0.0,0,0,1,0,1,0,0,1,0,2007,8,2,1,5,1,2,0,0,8,6,4,0,0,10,6,-3,0,0,5,4,-2,0,0,4,2,-1,0,0,5,4,3,0,0,13,5,12,1
63,2007-02-22 08:30:00,69,0.04,0.01,0,0,1,1,0,0,0,1,0,2007,8,3,1,7,-6,-5,0,0,6,-4,3,0,0,4,-4,-1,0,0,7,-11,-7,0,-1,6,-12,-3,0,-1,4,-10,2,0,-1,18,13,22,2
64,2007-02-22 10:30:00,18_46,-1.65,-1.65,2,0,0,2,0,0,0,2,0,2007,8,3,2,5,2,2,0,0,4,3,1,0,0,8,-2,-4,0,0,6,-3,-1,0,0,4,-5,-2,0,0,5,-3,2,0,0,16,6,17,1
65,2007-02-27 08:30:00,14_20,-3.55,-3.55,0,0,5,0,3,2,1,0,1,2007,9,1,2,13,11,6,0,1,6,10,-1,0,1,6,12,3,0,1,11,6,-7,0,0,6,4,-3,0,0,12,11,7,0,1,32,15,18,1
