,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,pips_agg_0_60_after,direction_agg_0_60_after
120,2007-11-01 08:30:00,9,0.73,0.0,1,0,0,1,0,0,1,2007,44,3,1,16,-7,-6,10,-4,4,13,1,5,-7,0
121,2007-11-01 10:00:00,17,-0.36,-0.36,0,0,1,1,0,0,1,2007,44,3,1,20,-12,-13,11,-12,0,12,-6,3,0,0
122,2007-11-05 10:00:00,18,0.58,0.58,0,1,0,1,0,0,1,2007,45,0,1,10,2,3,10,-1,-3,8,1,5,-5,0
123,2007-11-09 08:30:00,31,0.9,0.93,0,1,0,0,1,0,1,2007,45,4,1,14,-3,-3,18,-14,-9,11,-10,3,6,0
124,2007-11-09 10:00:00,28,-0.86,-0.83,0,0,1,0,0,1,1,2007,45,4,1,15,4,8,18,-8,-12,11,-5,5,2,0
125,2007-11-13 15:00:00,24,0.21,0.21,0,1,0,1,0,0,1,2007,46,1,1,20,10,11,10,6,-4,9,2,-4,9,0
126,2007-11-15 08:30:00,7,0.0,0.0,1,0,0,1,0,0,1,2007,46,3,1,19,-15,-14,13,-16,-2,17,-24,-4,-30,-2
127,2007-11-16 09:00:00,30,-0.2,-0.15,0,0,1,1,0,0,1,2007,46,4,1,16,4,4,13,6,2,12,9,4,19,1
128,2007-11-27 10:00:00,4,-0.7,-0.75,0,0,1,0,0,1,1,2007,48,1,1,10,2,2,10,3,6,10,2,-2,-10,-1
129,2007-11-28 08:30:00,8,-0.82,-0.25,0,0,1,0,1,0,1,2007,48,2,1,17,8,7,15,5,-5,12,-1,-4,9,0
130,2007-11-28 10:00:00,14,0.43,0.53,0,0,1,1,0,0,1,2007,48,2,1,10,1,3,10,-2,-3,14,-5,-3,5,0
131,2007-11-29 08:30:00,26,0.81,0.48,1,0,0,1,0,0,1,2007,48,3,1,19,-7,-6,9,-6,0,10,-5,2,-22,-2
132,2007-11-29 10:00:00,21,-0.26,-0.73,0,0,1,0,0,1,1,2007,48,3,1,10,-2,-4,12,7,8,15,13,6,29,2
133,2007-12-03 10:00:00,17,0.49,0.49,1,0,0,1,0,0,1,2007,49,0,1,9,2,0,10,2,-1,16,9,6,3,0
134,2007-12-05 08:15:00,0,1.65,1.65,0,1,0,0,1,0,1,2007,49,2,1,21,-10,-7,43,-45,-39,17,-39,6,-39,-2
135,2007-12-05 10:00:00,18,-0.34,-0.34,0,0,1,1,0,0,1,2007,49,2,1,21,-2,0,8,-1,4,17,4,4,-3,0
136,2007-12-07 10:00:00,28,1.12,1.19,1,0,0,0,1,0,1,2007,49,4,1,13,-1,0,10,1,0,14,3,3,-2,0
137,2007-12-10 10:00:00,24,0.06,0.77,0,1,0,0,1,0,1,2007,50,0,1,11,-7,-5,9,-12,-4,8,-13,-3,-12,-1
138,2007-12-11 14:15:00,15,0.45,0.45,1,0,0,1,0,0,1,2007,50,1,1,50,-14,-11,29,-35,-21,23,-21,12,-41,-2
139,2007-12-12 08:30:00,31,-0.8,-0.25,1,0,0,1,0,0,1,2007,50,2,1,20,8,11,12,8,2,21,-5,-16,-9,0
140,2007-12-14 08:30:00,7,1.79,1.79,0,1,0,1,0,0,1,2007,50,4,1,47,-37,-36,19,-26,11,15,-16,9,-33,-2
141,2007-12-17 09:00:00,30,1.14,0.99,0,1,0,0,0,1,1,2007,51,0,1,23,6,6,10,8,3,7,8,0,-18,-1
142,2007-12-18 08:30:00,3,0.65,0.58,1,0,0,1,0,0,1,2007,51,1,1,24,10,10,10,9,-2,7,7,0,20,1
143,2007-12-27 08:30:00,8,-0.67,-1.19,0,0,1,0,0,1,1,2007,52,3,1,18,3,6,35,33,28,16,35,2,60,2
