,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,pips_agg_0_60_after,direction_agg_0_60_after
147,2007-04-24 09:00:00,65,0.67,0.33,1,0,0,1,0,0,0,1,0,2007,17,1,1,15,1
148,2007-04-24 10:00:00,64_23_6,-4.96,-3.52,0,0,7,4,3,0,2,1,0,2007,17,1,3,35,2
149,2007-04-25 08:30:00,14_20,2.65,1.96,0,5,0,2,0,3,1,0,1,2007,17,2,2,-5,0
150,2007-04-25 10:00:00,47,0.75,0.72,0,0,3,0,0,3,1,0,0,2007,17,2,1,17,1
151,2007-04-25 10:30:00,18,-0.32,-0.32,1,0,0,1,0,0,0,1,0,2007,17,2,1,-2,0
152,2007-04-26 08:30:00,69,0.68,0.68,1,0,0,1,0,0,0,1,0,2007,17,3,1,1,0
153,2007-04-26 10:30:00,46,0.19,0.19,1,0,0,1,0,0,0,1,0,2007,17,3,1,-2,0
154,2007-04-27 08:30:00,2_1_22,0.71,0.71,0,2,5,2,2,3,1,0,2,2007,17,4,3,20,1
155,2007-04-27 10:00:00,63,2.32,2.4,0,2,0,2,0,0,0,0,1,2007,17,4,1,-3,0
156,2007-04-30 08:30:00,15_52_51,-6.109999999999999,-5.7700000000000005,0,1,5,3,3,0,1,1,1,2007,18,0,3,14,1
157,2007-04-30 09:45:00,10,-0.8,-0.8,0,0,2,2,0,0,0,0,1,2007,18,0,1,10,1
158,2007-04-30 10:00:00,11,0.28,0.8,1,0,0,0,1,0,0,1,0,2007,18,0,1,6,0
159,2007-05-01 01:00:00,67,-0.93,-0.93,1,0,0,1,0,0,0,1,0,2007,18,1,1,2,0
160,2007-05-01 10:00:00,38_50_39,-1.1099999999999999,-1.1099999999999999,0,4,3,4,3,0,2,1,0,2007,18,1,3,-50,-2
161,2007-05-02 08:15:00,0,-2.16,-1.8900000000000001,0,0,3,0,0,3,1,0,0,2007,18,2,1,10,1
162,2007-05-02 10:00:00,24,2.08,2.48,0,2,0,0,2,0,0,0,1,2007,18,2,1,2,0
163,2007-05-02 10:30:00,18,0.4,0.4,1,0,0,1,0,0,0,1,0,2007,18,2,1,2,0
164,2007-05-03 08:30:00,69_56_57,-1.43,1.34,0,1,4,0,4,1,0,1,2,2007,18,3,3,-31,-2
165,2007-05-03 10:00:00,40,2.9699999999999998,2.9699999999999998,0,3,0,3,0,0,1,0,0,2007,18,3,1,-6,0
166,2007-05-03 10:30:00,46,0.18,0.18,1,0,0,1,0,0,0,1,0,2007,18,3,1,1,0
167,2007-05-04 08:30:00,48_70_3,-4.18,-4.48,3,0,5,8,0,0,2,0,1,2007,18,4,3,34,2
168,2007-05-07 15:00:00,12,1.45,1.59,0,1,0,0,1,0,0,1,0,2007,19,0,1,3,0
169,2007-05-08 10:00:00,31,0.51,0.53,0,1,0,0,1,0,0,1,0,2007,19,1,1,-28,-2
170,2007-05-09 10:30:00,18,-1.45,-1.45,1,0,0,1,0,0,0,1,0,2007,19,2,1,-3,0
171,2007-05-09 14:15:00,26,0.0,0.0,3,0,0,3,0,0,1,0,0,2007,19,2,1,-26,-2
172,2007-05-10 08:30:00,68_69_41,-2.5999999999999996,-2.92,0,3,3,4,0,2,1,1,1,2007,19,3,3,-26,-2
173,2007-05-10 10:30:00,46,0.68,0.68,1,0,0,1,0,0,0,1,0,2007,19,3,1,-8,0
