,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
89,2007-07-05 10:00:00,18,0.47,0.47,0,1,0,1,0,0,1,2007,27,3,1,8,-10,-8,9,-7,4,5,-7,-1,12,-18,-10,11,-15,5,6,-19,-4,27,-19,-10,-1
90,2007-07-06 08:30:00,22_33,-0.8,-0.43000000000000005,1,1,0,1,1,0,2,2007,27,4,2,28,-26,-27,15,-15,12,9,-19,-4,6,-21,-1,5,-17,3,19,0,18,33,12,4,0
91,2007-07-12 08:30:00,31,-0.14,-0.13,1,0,0,1,0,0,1,2007,28,3,1,9,7,7,5,9,2,17,-6,-14,6,-2,5,17,-20,-16,6,-17,3,11,0,-10,-1
92,2007-07-13 08:30:00,10_29,-3.16,-2.6,0,0,2,0,2,0,2,2007,28,4,2,17,18,15,17,33,13,13,21,-10,6,17,-3,8,23,5,4,22,0,22,0,23,2
93,2007-07-13 10:00:00,28,1.46,1.42,0,1,0,0,1,0,1,2007,28,4,1,9,-11,-9,10,-5,6,4,-5,2,3,-2,3,3,-2,0,2,-3,-1,23,0,-21,-2
94,2007-07-17 08:30:00,23,-1.5,-1.5,0,0,1,1,0,0,1,2007,29,1,1,11,1,0,3,0,1,14,13,13,4,10,-3,3,9,-2,2,8,-1,14,0,1,0
95,2007-07-17 09:00:00,30,0.78,0.72,0,1,0,0,0,1,1,2007,29,1,1,4,-6,-3,5,-3,3,4,-6,-2,3,-7,-1,3,-5,2,4,-10,-4,21,9,0,0
96,2007-07-18 08:30:00,7,0.73,0.73,1,0,0,1,0,0,1,2007,29,2,1,11,-12,-11,12,-22,-9,10,-26,1,9,-26,2,7,-19,6,7,-22,-3,19,3,-11,-1
97,2007-07-25 10:00:00,14,-0.23,-0.23,0,0,1,1,0,0,1,2007,30,2,1,17,-3,-2,22,-15,-11,11,-10,5,10,-14,-3,10,-15,0,11,-15,0,27,-10,-20,-1
98,2007-07-26 08:30:00,8,-0.22,0.28,0,0,1,0,1,0,1,2007,30,3,1,15,-3,-1,9,-5,0,9,-4,-1,9,-5,-2,9,-9,-4,9,-6,2,41,30,-2,0
99,2007-07-26 10:00:00,21,-0.48,-0.35,0,0,1,0,0,1,1,2007,30,3,1,21,13,11,19,3,-10,13,2,0,8,2,-2,13,8,5,12,2,-5,39,4,3,0
100,2007-07-27 08:30:00,1,0.36,-0.3,0,1,0,0,0,1,1,2007,30,4,1,14,4,3,18,15,10,10,18,4,10,18,0,12,13,-4,12,6,-7,23,11,9,0
101,2007-07-31 08:30:00,9,-0.35,-0.29,0,0,1,1,0,0,1,2007,31,1,1,10,-3,-1,9,-5,-3,10,-10,-4,7,-10,-1,8,-13,-3,10,-10,2,22,8,-12,-1
102,2007-07-31 10:00:00,4,1.52,1.36,0,1,0,0,1,0,1,2007,31,1,1,10,-3,-2,9,-7,-5,12,-14,-7,12,-13,-2,12,-13,-1,12,-17,-1,20,-1,-9,0
103,2007-08-01 10:00:00,17_24,-0.26,-0.26,0,1,1,1,0,1,2,2007,31,2,2,9,-6,-6,12,3,9,12,4,2,14,10,6,11,14,5,12,10,-4,14,7,-10,-1
104,2007-08-03 08:30:00,22_33,-2.3600000000000003,-2.23,0,0,2,2,0,0,2,2007,31,4,2,29,24,23,10,21,-4,15,11,-10,20,11,0,8,13,2,10,15,1,39,2,25,2
105,2007-08-03 10:00:00,18,-1.21,-1.21,0,0,1,1,0,0,1,2007,31,4,1,11,1,-1,10,-2,-3,9,-3,0,9,2,3,20,16,13,21,31,15,39,26,24,2
106,2007-08-07 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,32,1,1,19,-3,-2,13,2,7,17,11,8,15,19,8,17,28,8,10,20,-8,20,-3,26,2
107,2007-08-13 08:30:00,10_29,0.99,0.16,1,1,0,0,2,0,2,2007,33,0,2,20,6,7,12,2,-3,8,5,1,8,4,4,9,6,3,8,2,-3,20,4,9,0
108,2007-08-14 08:30:00,31_23,2.1799999999999997,2.2,0,2,0,1,1,0,2,2007,33,1,2,12,-7,-7,13,-10,-3,9,-5,4,10,-5,0,12,-14,-9,13,-14,-3,22,4,-12,-1
109,2007-08-15 08:30:00,7,0.73,0.73,1,0,0,1,0,0,1,2007,33,2,1,11,-4,-4,9,-3,2,8,-6,-3,11,-5,1,17,-16,-10,13,-13,5,19,8,-13,-1
110,2007-08-15 09:00:00,30,1.13,1.2,0,1,0,1,0,0,1,2007,33,2,1,12,-5,-4,15,-2,2,16,7,9,12,9,1,14,1,-8,12,6,6,25,-9,18,1
111,2007-08-17 10:00:00,28,-0.9,-1.1,0,0,1,0,0,1,1,2007,33,4,1,14,10,11,10,13,4,8,14,3,9,11,-3,13,16,5,9,16,1,36,-7,47,2
112,2007-08-24 08:30:00,8,1.25,1.32,0,1,0,0,0,1,1,2007,34,4,1,12,-7,-7,24,2,9,14,2,-1,14,6,3,16,14,8,12,18,3,26,1,-6,0
113,2007-08-24 10:00:00,21,0.45,0.75,0,1,0,0,1,0,1,2007,34,4,1,15,11,11,16,15,3,13,4,-9,13,10,6,13,6,-3,12,4,-2,37,-5,7,0
114,2007-08-27 10:00:00,14,0.76,0.72,1,0,0,1,0,0,1,2007,35,0,1,12,-3,-2,11,-4,0,8,-4,-3,7,-5,-1,6,-3,1,6,-3,1,16,-1,-14,-1
115,2007-08-28 10:00:00,4,-0.48,-0.75,1,0,0,0,0,1,1,2007,35,1,1,10,1,2,16,-10,-11,11,-5,3,11,-3,-2,13,-8,-6,13,-6,2,23,-14,-5,0
116,2007-08-30 08:30:00,26,1.05,-1.15,1,0,0,1,0,0,1,2007,35,3,1,14,2,2,15,-6,-7,11,-3,3,11,5,5,16,8,4,9,9,1,39,25,2,0
117,2007-08-31 08:30:00,9,0.0,1.4,0,0,1,0,1,0,1,2007,35,4,1,8,1,0,11,-2,-3,9,-2,0,10,-4,-1,13,-9,-5,10,-8,1,28,-1,-18,-1
118,2007-09-04 10:00:00,17,-0.28,-0.28,1,0,0,1,0,0,1,2007,36,1,1,12,-1,-3,11,2,3,8,5,0,11,-1,-5,8,3,2,14,-3,-6,27,20,7,0
119,2007-09-05 10:00:00,24,0.33,0.33,0,0,1,1,0,0,1,2007,36,2,1,11,9,4,32,30,24,37,60,30,14,57,-3,11,55,0,13,57,2,25,11,59,2
120,2007-09-06 10:00:00,18,-0.07,-0.07,0,1,0,1,0,0,1,2007,36,3,1,11,-6,-7,11,-5,1,16,1,6,12,5,3,11,3,-3,12,1,-2,29,20,13,1
121,2007-09-07 08:30:00,22_33,-1.19,-1.23,1,0,1,1,0,1,2,2007,36,4,2,76,64,62,16,56,-9,22,72,15,19,77,4,15,69,-8,14,65,-2,88,12,67,2
