,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_30_after,reaction_min_0_30_after
4089,2014-09-18 10:30:00,46,-0.48,1,0.0,0,1,0,0,1,0,0,0,1,0,2014,38,3,1,30,18,-2,0
4090,2014-09-19 10:00:00,7,-0.92,1,1.22,1,0,0,1,0,1,0,0,1,0,2014,38,4,1,21,-9,-17,0
4091,2014-09-22 10:00:00,23,-3.42,2,-2.02,0,0,0,2,2,0,0,0,0,1,2014,39,0,1,18,-12,-18,1
4092,2014-09-23 09:00:00,35,-0.96,1,-0.88,0,0,0,1,0,0,1,0,1,0,2014,39,1,1,25,-16,-6,0
4093,2014-09-23 09:45:00,32,-0.14,0,-0.49,0,1,0,0,1,0,0,0,1,0,2014,39,1,1,14,10,-15,0
4094,2014-09-23 09:59:00,64,1.1,0,0.0,0,0,1,0,1,0,0,0,1,0,2014,39,1,1,15,-7,-20,1
4095,2014-09-24 10:00:00,47,3.7199999999999998,3,1.32,3,0,3,0,0,3,0,1,0,0,2014,39,2,1,48,-38,-7,0
4096,2014-09-24 10:30:00,18,-4.78,2,0.0,0,2,0,0,2,0,0,0,0,1,2014,39,2,1,27,-13,-6,0
4097,2014-09-25 08:30:00,69_14_20,-0.42,0,-4.83,0,6,0,3,9,0,0,3,0,0,2014,39,3,3,16,4,-12,0
4098,2014-09-25 09:45:00,33,-0.4,0,2.22,3,0,0,1,0,1,0,0,1,0,2014,39,3,1,20,-14,-19,1
4099,2014-09-25 10:30:00,46,-0.37,1,0.0,0,1,0,0,1,0,0,0,1,0,2014,39,3,1,39,28,-7,0
4100,2014-09-26 08:30:00,28_27,0.0,0,-20.660000000000004,6,4,0,0,4,0,0,1,1,0,2014,39,4,2,17,5,-19,1
4101,2014-09-26 09:55:00,63,-0.76,0,-4.8,0,2,0,0,2,0,0,0,0,1,2014,39,4,1,39,-10,-11,0
4102,2014-09-29 08:30:00,15_52_51,2.82,2,2.82,0,3,2,0,3,2,0,0,1,2,2014,40,0,3,16,-2,-5,0
