,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_30_120_after,reaction_max_30_120_after
92,2007-04-13 10:00:00,58,3.0,0,3.0,0,0,0,3,3,0,0,1,0,0,2007,15,4,1,16,-1,5,-4,5,0,8,6,8,-5,7,4,15,2,1,0
93,2007-04-16 09:00:00,66,3.0,0,3.0,0,0,0,3,3,0,0,1,0,0,2007,16,0,1,17,-3,3,-1,6,3,2,0,3,-2,9,-7,12,2,11,0
94,2007-04-16 10:00:00,5,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,16,0,1,7,-4,4,4,3,-1,4,2,5,3,4,2,23,-5,7,0
95,2007-04-16 13:00:00,44,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,16,0,1,4,-1,5,3,4,-1,3,-2,5,2,3,-1,7,-1,1,0
96,2007-04-18 10:30:00,18,-1.32,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,2,1,6,4,6,-4,3,0,4,-1,4,0,5,0,17,-2,6,0
97,2007-04-19 08:30:00,69,-0.93,1,0.5,0,0,0,1,1,0,0,0,1,0,2007,16,3,1,6,4,13,8,5,-4,10,-9,10,-5,7,-3,16,7,18,0
98,2007-04-19 10:00:00,7,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,16,3,1,14,10,8,-4,4,0,5,3,5,1,4,3,12,-4,11,0
99,2007-04-19 10:30:00,46,-0.32,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,3,1,9,3,9,-7,2,0,2,0,11,10,8,1,17,11,8,0
100,2007-04-19 12:00:00,53,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,16,3,1,13,-1,6,-4,4,-2,4,3,2,1,4,2,12,-5,10,0
101,2007-04-24 09:00:00,65,0.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,17,1,1,11,8,6,1,5,-2,5,1,3,0,5,1,11,-3,53,1
102,2007-04-25 10:00:00,47,3.0,0,3.0,0,0,0,3,0,0,3,1,0,0,2007,17,2,1,16,16,6,-1,13,9,9,-5,11,-1,5,-1,11,0,2,0
103,2007-04-25 10:30:00,18,-3.26,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,2,1,6,4,7,-5,3,1,4,1,4,0,8,4,34,16,0,0
104,2007-04-26 08:30:00,69,-0.3,0,-4.47,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,12,2,7,5,9,3,5,1,5,2,3,1,23,-17,4,0
105,2007-04-26 10:30:00,46,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,8,6,5,1,6,-6,5,3,6,-1,5,3,16,0,8,0
106,2007-04-27 10:00:00,63,2.0,0,2.0,0,0,2,0,2,0,0,0,0,1,2007,17,4,1,15,-7,5,1,5,1,4,0,3,-2,4,1,15,6,5,0
