,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_30_60_after,pips_candle_30_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_60_180_after,reaction_max_60_180_after
78,2007-07-26 08:30:00,8,-0.62,0,0.9,1,0,0,1,0,1,0,1,2007,30,3,1,15,-1,9,0,9,-1,9,-2,9,-4,9,2,17,-4,42,25,27,1
79,2007-07-26 10:00:00,21,-0.61,0,-0.86,0,0,0,1,0,0,1,1,2007,30,3,1,21,11,19,-10,13,0,8,-2,13,5,12,-5,23,-13,24,6,57,1
80,2007-07-27 08:30:00,1,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,30,4,1,14,3,18,10,10,4,10,0,12,-4,12,-7,18,6,23,8,9,0
81,2007-07-31 08:30:00,9,-1.0,0,0.0,0,0,0,1,1,0,0,1,2007,31,1,1,10,-1,9,-3,10,-4,7,-1,8,-3,10,2,14,1,20,12,8,0
82,2007-07-31 10:00:00,4,2.78,2,1.05,1,0,1,0,0,1,0,1,2007,31,1,1,10,-2,9,-5,12,-7,12,-2,12,-1,12,-1,16,2,20,-5,17,0
83,2007-08-03 10:00:00,18,-1.11,1,0.0,0,0,0,1,1,0,0,1,2007,31,4,1,11,-1,10,-3,9,0,9,3,20,13,21,15,15,-8,51,40,30,1
84,2007-08-07 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,32,1,1,19,-2,13,7,17,8,15,8,17,8,10,-8,18,-1,21,1,2,0
85,2007-08-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,33,2,1,11,-4,9,2,8,-3,11,1,17,-10,13,5,20,9,18,6,35,1
86,2007-08-15 09:00:00,30,1.66,1,-0.01,0,0,1,0,1,0,0,1,2007,33,2,1,12,-4,15,2,16,9,12,1,14,-8,12,6,40,6,24,-7,29,1
87,2007-08-17 10:00:00,28,-1.2,1,-1.26,1,0,0,1,0,0,1,1,2007,33,4,1,14,11,10,4,8,3,9,-3,13,5,9,1,43,-10,36,-5,7,0
88,2007-08-24 08:30:00,8,2.59,1,-0.71,1,0,1,0,0,0,1,1,2007,34,4,1,12,-7,24,9,14,-1,14,3,16,8,12,3,35,-10,22,1,24,0
89,2007-08-24 10:00:00,21,0.46,1,0.58,1,0,1,0,0,1,0,1,2007,34,4,1,15,11,16,3,13,-9,13,6,13,-3,12,-2,17,-1,35,-1,49,1
90,2007-08-27 10:00:00,14,0.0,0,-0.48,0,1,0,0,1,0,0,1,2007,35,0,1,12,-2,11,0,8,-3,7,-1,6,1,6,1,15,-8,16,1,21,0
91,2007-08-28 10:00:00,4,-0.05,0,-0.52,1,1,0,0,0,0,1,1,2007,35,1,1,10,2,16,-11,11,3,11,-2,13,-6,13,2,21,-14,23,-12,5,0
92,2007-08-30 08:30:00,26,0.0,0,1.0,0,1,0,0,1,0,0,1,2007,35,3,1,14,2,15,-7,11,3,11,5,16,4,9,1,17,-5,34,25,39,1
93,2007-08-31 08:30:00,9,-1.12,0,2.24,3,0,0,1,0,1,0,1,2007,35,4,1,8,0,11,-3,9,0,10,-1,13,-5,10,1,12,-6,48,30,5,0
94,2007-09-04 10:00:00,17,-0.14,0,0.0,0,1,0,0,1,0,0,1,2007,36,1,1,12,-3,11,3,8,0,11,-5,8,2,14,-6,33,21,24,16,29,1
95,2007-09-05 10:00:00,24,-2.3,1,0.0,0,0,0,1,1,0,0,1,2007,36,2,1,11,4,32,24,37,30,14,-3,11,0,13,2,20,12,21,12,18,0
96,2007-09-06 10:00:00,18,0.37,0,0.0,0,0,1,0,1,0,0,1,2007,36,3,1,11,-7,11,1,16,6,12,3,11,-3,12,-2,40,31,32,25,11,0
97,2007-09-11 08:30:00,31,-0.06,0,-1.55,2,1,0,0,0,0,1,1,2007,37,1,1,15,-10,8,3,9,2,12,2,7,1,6,3,20,4,20,1,14,0
98,2007-09-14 10:00:00,28,-0.06,0,-0.06,0,1,0,0,1,0,0,1,2007,37,4,1,11,0,14,-8,20,-14,12,-3,10,0,13,7,21,10,22,2,1,0
99,2007-09-18 08:30:00,23,-3.49,3,0.0,0,0,0,1,1,0,0,1,2007,38,1,1,16,8,19,8,14,-6,9,-1,6,1,7,-2,27,-19,22,8,8,0
100,2007-09-18 09:00:00,30,-2.23,1,-3.41,3,0,0,1,0,0,1,1,2007,38,1,1,20,12,10,-3,11,2,9,-2,10,-5,9,-2,10,1,30,17,7,0
