,Unnamed: 0,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
596,1,reg,svr-rbf,max,basic,ALL_NO_3_2_1,0_30,included,basic,13.63,"{'C': 5, 'gamma': 4}",,,,,,,,,14.43,7.22
597,2,reg,dtree,max,basic,ALL_NO_3_2_1,0_30,included,basic,11.58,"{'max_depth': 5, 'min_samples_leaf': 100}",,,,,,,,,11.79,0.45
598,3,reg,rforest,max,basic,ALL_NO_3_2_1,0_30,included,basic,11.26,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,,,11.51,43.38
599,4,reg,xgb,max,basic,ALL_NO_3_2_1,0_30,included,basic,11.25,{'n_estimators': 50},,,,,,,,,11.47,0.3
600,5,reg,gboosting,max,basic,ALL_NO_3_2_1,0_30,included,basic,11.36,{'n_estimators': 50},,,,,,,,,11.53,0.61
601,6,reg,ada,max,basic,ALL_NO_3_2_1,0_30,included,basic,12.33,{'n_estimators': 10},,,,,,,,,12.67,0.67
602,0,clf,kn,min,basic,ALL_NO_3_2_1,0_30,included,basic,0.75,{'n_neighbors': 31},0.76,0.74,0.78,0.95,0.61,0.24,957.0,335.0,"{'0': {'precision': 0.7796901893287436, 'recall': 0.9467084639498433, 'f1-score': 0.8551203397829165, 'support': 957}, '1': {'precision': 0.6076923076923076, 'recall': 0.23582089552238805, 'f1-score': 0.3397849462365591, 'support': 335}, 'micro avg': {'precision': 0.7623839009287926, 'recall': 0.7623839009287926, 'f1-score': 0.7623839009287926, 'support': 1292}, 'macro avg': {'precision': 0.6936912485105255, 'recall': 0.5912646797361156, 'f1-score': 0.5974526430097378, 'support': 1292}, 'weighted avg': {'precision': 0.7350932153750237, 'recall': 0.7623839009287926, 'f1-score': 0.7215000945522433, 'support': 1292}}",3.39
603,1,clf,svc-rbf,min,basic,ALL_NO_3_2_1,0_30,included,basic,0.73,"{'C': 1, 'gamma': 1}",0.74,0.55,0.74,1.0,0.0,0.0,957.0,335.0,"{'0': {'precision': 0.7407120743034056, 'recall': 1.0, 'f1-score': 0.8510449088483771, 'support': 957}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 335}, 'micro avg': {'precision': 0.7407120743034056, 'recall': 0.7407120743034056, 'f1-score': 0.7407120743034055, 'support': 1292}, 'macro avg': {'precision': 0.3703560371517028, 'recall': 0.5, 'f1-score': 0.42552245442418857, 'support': 1292}, 'weighted avg': {'precision': 0.5486543770188538, 'recall': 0.7407120743034056, 'f1-score': 0.6303792397584341, 'support': 1292}}",7.93
604,2,clf,dtree,min,basic,ALL_NO_3_2_1,0_30,included,basic,0.76,"{'max_depth': 3, 'min_samples_leaf': 200}",0.78,0.77,0.82,0.9,0.61,0.45,957.0,335.0,"{'0': {'precision': 0.8233046800382043, 'recall': 0.9007314524555904, 'f1-score': 0.8602794411177644, 'support': 957}, '1': {'precision': 0.6122448979591837, 'recall': 0.44776119402985076, 'f1-score': 0.5172413793103449, 'support': 335}, 'micro avg': {'precision': 0.7832817337461301, 'recall': 0.7832817337461301, 'f1-score': 0.7832817337461302, 'support': 1292}, 'macro avg': {'precision': 0.7177747889986941, 'recall': 0.6742463232427206, 'f1-score': 0.6887604102140547, 'support': 1292}, 'weighted avg': {'precision': 0.7685794269449598, 'recall': 0.7832817337461301, 'f1-score': 0.7713338136367385, 'support': 1292}}",0.47
605,3,clf,rforest,min,basic,ALL_NO_3_2_1,0_30,included,basic,0.77,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",0.78,0.76,0.8,0.94,0.65,0.31,957.0,335.0,"{'0': {'precision': 0.795233892321271, 'recall': 0.9414838035527691, 'f1-score': 0.862200956937799, 'support': 957}, '1': {'precision': 0.6477987421383647, 'recall': 0.3074626865671642, 'f1-score': 0.41700404858299595, 'support': 335}, 'micro avg': {'precision': 0.7770897832817337, 'recall': 0.7770897832817337, 'f1-score': 0.7770897832817338, 'support': 1292}, 'macro avg': {'precision': 0.7215163172298178, 'recall': 0.6244732450599666, 'f1-score': 0.6396025027603974, 'support': 1292}, 'weighted avg': {'precision': 0.7570057380555794, 'recall': 0.7770897832817337, 'f1-score': 0.7467667740439453, 'support': 1292}}",24.74
606,4,clf,xgb,min,basic,ALL_NO_3_2_1,0_30,included,basic,0.77,{'n_estimators': 100},0.78,0.77,0.81,0.92,0.63,0.4,957.0,335.0,"{'0': {'precision': 0.8142989786443825, 'recall': 0.9164054336468129, 'f1-score': 0.8623402163225171, 'support': 957}, '1': {'precision': 0.627906976744186, 'recall': 0.40298507462686567, 'f1-score': 0.49090909090909085, 'support': 335}, 'micro avg': {'precision': 0.7832817337461301, 'recall': 0.7832817337461301, 'f1-score': 0.7832817337461302, 'support': 1292}, 'macro avg': {'precision': 0.7211029776942843, 'recall': 0.6596952541368393, 'f1-score': 0.676624653615804, 'support': 1292}, 'weighted avg': {'precision': 0.7659697831052449, 'recall': 0.7832817337461301, 'f1-score': 0.7660326102749181, 'support': 1292}}",0.34
607,5,clf,gboosting,min,basic,ALL_NO_3_2_1,0_30,included,basic,0.78,{'n_estimators': 100},0.78,0.77,0.81,0.92,0.63,0.4,957.0,335.0,"{'0': {'precision': 0.8133086876155268, 'recall': 0.9195402298850575, 'f1-score': 0.8631682197155469, 'support': 957}, '1': {'precision': 0.6333333333333333, 'recall': 0.3970149253731343, 'f1-score': 0.48807339449541276, 'support': 335}, 'micro avg': {'precision': 0.7840557275541795, 'recall': 0.7840557275541795, 'f1-score': 0.7840557275541795, 'support': 1292}, 'macro avg': {'precision': 0.7233210104744301, 'recall': 0.6582775776290959, 'f1-score': 0.6756208071054799, 'support': 1292}, 'weighted avg': {'precision': 0.7666432513271871, 'recall': 0.7840557275541795, 'f1-score': 0.7659106605446917, 'support': 1292}}",0.77
608,6,clf,ada,min,basic,ALL_NO_3_2_1,0_30,included,basic,0.77,{'n_estimators': 200},0.77,0.76,0.81,0.91,0.6,0.39,957.0,335.0,"{'0': {'precision': 0.8089053803339518, 'recall': 0.9111807732497388, 'f1-score': 0.857002457002457, 'support': 957}, '1': {'precision': 0.602803738317757, 'recall': 0.3850746268656716, 'f1-score': 0.4699453551912568, 'support': 335}, 'micro avg': {'precision': 0.7747678018575851, 'recall': 0.7747678018575851, 'f1-score': 0.7747678018575851, 'support': 1292}, 'macro avg': {'precision': 0.7058545593258544, 'recall': 0.6481277000577053, 'f1-score': 0.6634739060968569, 'support': 1292}, 'weighted avg': {'precision': 0.7554657130929106, 'recall': 0.7747678018575851, 'f1-score': 0.7566432239476955, 'support': 1292}}",0.89
609,0,reg,kn,min,basic,ALL_NO_3_2_1,0_30,included,basic,12.21,{'n_neighbors': 21},,,,,,,,,11.98,3.08
