,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_60_after,reaction_min_0_60_after
117,2007-05-09 10:30:00,18,-2.95,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,19,2,1,12,-4,-4,0
118,2007-05-09 14:15:00,26,0.0,0,0.0,0,1,0,0,1,0,0,1,0,0,2007,19,2,1,11,7,-7,0
119,2007-05-10 10:30:00,46,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,19,3,1,16,9,-11,0
120,2007-05-10 14:00:00,25,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,19,3,1,22,-13,-3,0
121,2007-05-11 10:00:00,5,1.0,0,1.0,0,0,1,0,0,1,0,0,0,1,2007,19,4,1,18,11,-3,0
122,2007-05-15 09:00:00,66,1.0,0,0.0,0,0,0,1,1,0,0,1,0,0,2007,20,1,1,31,20,-7,0
123,2007-05-15 10:00:00,37,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,20,1,1,19,-11,-3,0
124,2007-05-15 13:00:00,44,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,20,1,1,7,-1,-10,0
125,2007-05-16 10:30:00,18,-0.61,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,20,2,1,12,-3,-47,1
126,2007-05-17 08:30:00,69,0.93,1,-0.61,0,0,1,0,1,0,0,0,1,0,2007,20,3,1,19,-4,-13,0
127,2007-05-17 10:00:00,7,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,20,3,1,13,0,-6,0
128,2007-05-17 10:30:00,46,-0.72,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,20,3,1,12,5,-7,0
129,2007-05-17 12:00:00,53,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,20,3,1,9,1,-1,0
130,2007-05-18 10:00:00,58,1.0,0,1.0,0,0,1,0,0,1,0,1,0,0,2007,20,4,1,9,5,-3,0
131,2007-05-22 10:00:00,64,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,21,1,1,8,-2,0,0
132,2007-05-23 10:30:00,18,-0.78,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,21,2,1,13,-6,-1,0
133,2007-05-24 10:00:00,47,1.0,0,1.0,0,0,1,0,0,0,1,1,0,0,2007,21,3,1,15,2,-11,0
134,2007-05-24 10:30:00,46,-3.27,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,21,3,1,40,-33,-4,0
135,2007-05-25 10:00:00,23,1.0,0,1.0,0,0,0,1,0,1,0,1,0,0,2007,21,4,1,10,-6,-4,0
136,2007-05-29 09:00:00,65,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,22,1,1,22,6,-16,0
137,2007-05-29 10:00:00,6,1.0,0,1.0,0,0,1,0,0,1,0,1,0,0,2007,22,1,1,10,-1,-15,0
138,2007-05-30 08:15:00,0,1.0,0,1.0,0,0,0,1,1,0,0,1,0,0,2007,22,2,1,23,-10,-8,0
139,2007-05-31 09:45:00,10,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,22,3,1,12,-10,-19,0
140,2007-05-31 10:00:00,11,1.0,0,1.0,0,1,0,0,0,1,0,0,1,0,2007,22,3,1,17,-16,-10,0
141,2007-06-01 01:00:00,67,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,22,4,1,5,2,-8,0
142,2007-06-04 10:00:00,24,1.0,0,1.0,0,0,0,1,0,1,0,0,0,1,2007,23,0,1,17,1,-10,0
143,2007-06-05 10:00:00,40,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,23,1,1,14,-20,-14,0
