,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_30_60_after,pips_candle_30_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_60_240_after,reaction_max_60_240_after
77,2007-03-28 10:30:00,18,-1.22,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,2,1,18,10,9,-6,5,1,8,4,6,-2,5,1,26,-27,16,0,6,0
78,2007-03-29 10:30:00,46,-0.57,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,3,1,2,-1,1,1,5,4,3,-1,6,-3,4,-2,8,-4,13,3,18,0
79,2007-03-30 09:45:00,10,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,13,4,1,12,3,3,-1,6,4,17,-11,9,-6,5,1,15,7,18,1,94,1
80,2007-04-03 01:00:00,67,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,1,1,2,1,2,0,2,1,2,0,1,-1,2,1,10,-5,4,0,24,0
81,2007-04-03 10:00:00,50,1.0,0,1.0,0,0,1,0,1,0,0,1,0,0,2007,14,1,1,5,-3,10,8,4,0,8,-6,2,0,3,1,7,-1,10,1,3,0
82,2007-04-04 08:15:00,0,1.0,0,1.0,0,0,0,1,0,1,0,1,0,0,2007,14,2,1,7,6,3,2,3,0,2,-1,9,-9,6,-2,16,9,11,4,27,0
83,2007-04-04 10:30:00,18,-1.6,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,2,1,9,5,9,6,7,-5,3,0,9,-4,7,7,9,1,27,12,1,0
84,2007-04-05 08:30:00,69,-0.75,0,-2.24,0,0,0,1,1,0,0,0,1,0,2007,14,3,1,7,-4,4,4,5,0,3,1,7,6,4,-1,50,42,22,5,12,0
85,2007-04-05 10:30:00,46,-0.6,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,3,1,4,1,2,-1,2,1,3,2,3,0,3,0,12,-10,17,3,4,0
86,2007-04-06 10:00:00,31,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,14,4,1,8,-5,4,0,3,-1,5,3,4,-3,2,0,8,3,15,-10,4,0
87,2007-04-06 15:00:00,12,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,14,4,1,2,0,4,-1,5,3,4,1,1,0,2,-1,6,2,8,1,5,0
88,2007-04-10 10:00:00,37,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,15,1,1,6,-2,4,-1,6,4,3,2,2,-1,4,1,12,6,15,0,10,0
89,2007-04-11 10:30:00,18,-0.48,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,2,1,2,1,4,-3,3,2,3,2,9,5,6,3,5,-1,12,1,1,0
90,2007-04-11 14:00:00,25,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,15,2,1,16,-10,4,0,13,-6,6,1,4,3,5,4,10,4,8,-2,8,0
91,2007-04-12 10:30:00,46,-0.75,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,3,1,5,2,20,14,9,-6,7,-5,6,5,7,4,7,-2,29,19,2,0
92,2007-04-13 10:00:00,58,1.0,0,1.0,0,0,0,1,1,0,0,1,0,0,2007,15,4,1,16,-1,5,-4,5,0,8,6,8,-5,7,4,31,-19,15,2,24,0
93,2007-04-16 09:00:00,66,1.0,0,1.0,0,0,0,1,1,0,0,1,0,0,2007,16,0,1,17,-3,3,-1,6,3,2,0,3,-2,9,-7,11,-1,12,2,12,0
94,2007-04-16 10:00:00,5,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,16,0,1,7,-4,4,4,3,-1,4,2,5,3,4,2,11,-2,23,-5,8,0
95,2007-04-16 13:00:00,44,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,16,0,1,4,-1,5,3,4,-1,3,-2,5,2,3,-1,7,-4,7,-1,2,0
96,2007-04-18 10:30:00,18,-1.32,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,2,1,6,4,6,-4,3,0,4,-1,4,0,5,0,7,2,17,-2,6,0
97,2007-04-19 08:30:00,69,-0.93,1,0.5,0,0,0,1,1,0,0,0,1,0,2007,16,3,1,6,4,13,8,5,-4,10,-9,10,-5,7,-3,12,0,16,7,23,0
98,2007-04-19 10:00:00,7,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,16,3,1,14,10,8,-4,4,0,5,3,5,1,4,3,14,3,12,-4,8,0
99,2007-04-19 10:30:00,46,-0.32,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,3,1,9,3,9,-7,2,0,2,0,11,10,8,1,9,1,17,11,6,0
100,2007-04-19 12:00:00,53,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,16,3,1,13,-1,6,-4,4,-2,4,3,2,1,4,2,10,8,12,-5,3,0
101,2007-04-24 09:00:00,65,0.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,17,1,1,11,8,6,1,5,-2,5,1,3,0,5,1,27,22,11,-3,31,1
102,2007-04-25 10:00:00,47,1.0,0,1.0,0,0,0,1,0,0,1,1,0,0,2007,17,2,1,16,16,6,-1,13,9,9,-5,11,-1,5,-1,8,-2,11,0,0,0
103,2007-04-25 10:30:00,18,-3.26,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,2,1,6,4,7,-5,3,1,4,1,4,0,8,4,7,-6,34,16,5,0
104,2007-04-26 08:30:00,69,-0.3,0,-4.47,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,12,2,7,5,9,3,5,1,5,2,3,1,13,-6,23,-17,10,0
105,2007-04-26 10:30:00,46,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,8,6,5,1,6,-6,5,3,6,-1,5,3,14,-6,16,0,15,0
106,2007-04-27 10:00:00,63,1.0,0,1.0,0,0,1,0,1,0,0,0,0,1,2007,17,4,1,15,-7,5,1,5,1,4,0,3,-2,4,1,31,-26,15,6,5,0
107,2007-04-30 09:45:00,10,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,18,0,1,8,6,6,4,6,0,5,-2,3,0,6,-4,17,5,17,8,34,1
108,2007-04-30 10:00:00,11,0.0,0,1.0,0,1,0,0,0,1,0,0,1,0,2007,18,0,1,5,-2,3,0,6,-4,5,4,3,0,6,-5,18,13,24,16,32,1
109,2007-05-01 01:00:00,67,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,1,1,3,1,2,0,4,-3,3,-1,3,1,3,1,9,2,9,-5,13,0
110,2007-05-02 08:15:00,0,1.0,0,1.0,0,0,0,1,0,0,1,1,0,0,2007,18,2,1,7,4,5,0,3,-2,4,-1,4,3,3,-1,20,14,15,12,15,0
111,2007-05-02 10:00:00,24,1.0,0,1.0,0,0,1,0,0,1,0,0,0,1,2007,18,2,1,11,-10,9,-1,6,5,4,0,8,8,13,5,17,-14,15,8,13,0
112,2007-05-02 10:30:00,18,-0.25,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,2,1,8,7,7,-5,4,0,6,-4,5,-3,2,0,14,7,34,10,6,0
113,2007-05-03 10:00:00,40,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,18,3,1,16,-12,7,4,6,1,4,-3,12,-9,6,4,12,9,20,-18,6,0
114,2007-05-03 10:30:00,46,-3.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,3,1,3,1,3,2,2,0,5,2,7,6,3,-3,12,-8,35,-26,14,0
115,2007-05-07 15:00:00,12,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,19,0,1,4,3,4,-3,6,-3,3,2,2,0,2,0,4,-1,11,-6,2,0
