,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_30_120_after,reaction_max_30_120_after
114,2007-08-27 10:00:00,14,0.0,0,-0.48,0,1,0,0,1,0,0,1,2007,35,0,1,12,-2,11,0,8,-3,7,-1,6,1,6,1,16,1,6,0
115,2007-08-28 10:00:00,4,-0.05,0,-0.52,1,1,0,0,0,0,1,1,2007,35,1,1,10,2,16,-11,11,3,11,-2,13,-6,13,2,23,-12,6,0
116,2007-08-30 08:30:00,26,0.0,0,1.0,0,1,0,0,1,0,0,1,2007,35,3,1,14,2,15,-7,11,3,11,5,16,4,9,1,39,25,11,0
117,2007-08-31 08:30:00,9,-1.12,0,2.24,3,0,0,1,0,1,0,1,2007,35,4,1,8,0,11,-3,9,0,10,-1,13,-5,10,1,28,30,8,0
118,2007-09-04 10:00:00,17,-0.14,0,0.0,0,1,0,0,1,0,0,1,2007,36,1,1,12,-3,11,3,8,0,11,-5,8,2,14,-6,27,16,48,1
119,2007-09-05 10:00:00,24,-2.3,1,0.0,0,0,0,1,1,0,0,1,2007,36,2,1,11,4,32,24,37,30,14,-3,11,0,13,2,25,12,29,1
120,2007-09-06 10:00:00,18,0.37,0,0.0,0,0,1,0,1,0,0,1,2007,36,3,1,11,-7,11,1,16,6,12,3,11,-3,12,-2,29,25,42,1
121,2007-09-07 08:30:00,22_33,-3.31,2,-1.36,1,1,0,1,1,0,1,2,2007,36,4,2,76,62,16,-9,22,15,19,4,15,-8,14,-2,88,14,31,1
122,2007-09-11 08:30:00,31,-0.06,0,-1.55,2,1,0,0,0,0,1,1,2007,37,1,1,15,-10,8,3,9,2,12,2,7,1,6,3,20,1,9,0
123,2007-09-14 08:30:00,10_29,-1.67,1,3.55,0,0,0,2,0,2,0,2,2007,37,4,2,17,9,12,0,9,-2,16,-12,14,7,8,-3,42,10,5,0
124,2007-09-14 10:00:00,28,-0.06,0,-0.06,0,1,0,0,1,0,0,1,2007,37,4,1,11,0,14,-8,20,-14,12,-3,10,0,13,7,22,2,14,0
125,2007-09-18 08:30:00,23,-3.49,3,0.0,0,0,0,1,1,0,0,1,2007,38,1,1,16,8,19,8,14,-6,9,-1,6,1,7,-2,28,8,4,0
126,2007-09-18 09:00:00,30,-2.23,1,-3.41,3,0,0,1,0,0,1,1,2007,38,1,1,20,12,10,-3,11,2,9,-2,10,-5,9,-2,35,17,9,0
127,2007-09-18 14:15:00,15,-1.25,3,0.0,0,0,0,1,1,0,0,1,2007,38,1,1,75,39,24,-9,23,19,21,16,22,1,15,-3,91,18,8,0
128,2007-09-19 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,38,2,1,18,-3,24,-17,11,1,13,8,10,-3,12,6,29,15,14,0
129,2007-09-25 10:00:00,14_4,-1.22,1,0.54,0,1,0,1,1,1,0,2,2007,39,1,2,24,-2,14,-1,16,-13,14,6,10,1,11,5,49,24,10,0
130,2007-09-26 08:30:00,8,-0.46,0,-0.32,0,0,0,1,0,0,1,1,2007,39,2,1,14,-6,11,-4,6,-1,6,-4,8,-1,8,1,29,13,9,0
131,2007-09-27 10:00:00,21,-0.41,0,-0.13,0,0,0,1,0,0,1,1,2007,39,3,1,17,-12,13,-2,9,2,12,-6,17,-6,9,-1,18,6,9,0
132,2007-09-28 08:30:00,9,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,39,4,1,13,-7,13,6,9,5,14,-1,25,18,10,-5,25,-1,12,0
133,2007-10-01 10:00:00,17,-0.39,0,0.0,0,0,0,1,1,0,0,1,2007,40,0,1,14,8,13,3,8,0,14,-3,9,1,14,-7,19,2,26,1
134,2007-10-02 10:00:00,24,-0.79,0,4.95,3,0,0,1,0,1,0,1,2007,40,1,1,18,-8,12,-7,13,-3,7,-2,8,1,9,-1,29,22,7,0
135,2007-10-03 08:15:00,0,-0.12,0,-0.65,0,1,0,0,0,0,1,1,2007,40,2,1,11,-7,10,4,9,0,6,-1,10,-2,8,-5,29,15,10,0
136,2007-10-03 10:00:00,18,-0.06,0,0.0,0,1,0,0,1,0,0,1,2007,40,2,1,13,-11,13,-7,11,5,16,-9,9,1,10,-2,18,-4,9,0
137,2007-10-05 08:30:00,22_33,0.19,0,4.43,2,1,1,0,1,1,0,2,2007,40,4,2,62,-61,28,-9,34,18,24,3,21,-7,17,-7,82,-4,88,1
