actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
-237.2B,USD,2008-11-13 14:00:00,-99.0B,worse,Medium,Federal Budget Balance,45.7B,accurate,46,2008-11-13 19:00:00+00:00,139.6,2008,4,11,Thursday
-2.2%,USD,2008-11-14 08:30:00,-1.1%,worse,High,Core Retail Sales m/m,-0.5%,better,46,2008-11-14 13:30:00+00:00,100.0,2008,4,11,Friday
-2.8%,USD,2008-11-14 08:30:00,-2.0%,worse,High,Retail Sales m/m,-1.3%,worse,46,2008-11-14 13:30:00+00:00,40.0,2008,4,11,Friday
-4.7%,USD,2008-11-14 08:30:00,-4.3%,worse,Medium,Import Prices m/m,-3.3%,worse,46,2008-11-14 13:30:00+00:00,9.3,2008,4,11,Friday
57.9,USD,2008-11-14 09:55:00,56.0,better,High,Prelim UoM Consumer Sentiment,57.6,accurate,46,2008-11-14 14:55:00+00:00,-3.39,2008,4,11,Friday
-0.2%,USD,2008-11-14 10:00:00,0.1%,better,Medium,Business Inventories m/m,0.2%,better,46,2008-11-14 15:00:00+00:00,300.0,2008,4,11,Friday
62B,USD,2008-11-14 10:35:00,45B,accurate,Low,Natural Gas Storage,12B,accurate,46,2008-11-14 15:35:00+00:00,-37.78,2008,4,11,Friday
38.9,USD,2008-11-03 10:00:00,41.6,worse,High,ISM Manufacturing PMI,43.5,accurate,45,2008-11-03 15:00:00+00:00,6.49,2008,4,11,Monday
-0.3%,USD,2008-11-03 10:00:00,-0.8%,better,Low,Construction Spending m/m,0.3%,better,45,2008-11-03 15:00:00+00:00,-62.5,2008,4,11,Monday
37.0,USD,2008-11-03 10:00:00,49.0,worse,Low,ISM Manufacturing Prices,53.5,accurate,45,2008-11-03 15:00:00+00:00,24.49,2008,4,11,Monday
10.6M,USD,2008-11-03 00:00:00,12.0M,worse,Low,Total Vehicle Sales,12.5M,accurate,45,2008-11-03 05:00:00+00:00,11.67,2008,4,11,Monday
-2.5%,USD,2008-11-04 10:00:00,-1.0%,worse,Medium,Factory Orders m/m,-4.3%,worse,45,2008-11-04 15:00:00+00:00,150.0,2008,4,11,Tuesday
-157K,USD,2008-11-05 08:15:00,-100K,worse,High,ADP Non-Farm Employment Change,-26K,worse,45,2008-11-05 13:15:00+00:00,57.0,2008,4,11,Wednesday
44.4,USD,2008-11-05 10:00:00,47.3,worse,High,ISM Non-Manufacturing PMI,50.2,accurate,45,2008-11-05 15:00:00+00:00,6.13,2008,4,11,Wednesday
0.0M,USD,2008-11-05 10:35:00,1.1M,accurate,Medium,Crude Oil Inventories,0.5M,accurate,45,2008-11-05 15:35:00+00:00,100.0,2008,4,11,Wednesday
1.1%,USD,2008-11-06 08:30:00,1.0%,accurate,Medium,Prelim Nonfarm Productivity q/q,4.3%,worse,45,2008-11-06 13:30:00+00:00,-10.0,2008,4,11,Thursday
3.6%,USD,2008-11-06 08:30:00,2.9%,better,Medium,Prelim Unit Labor Costs q/q,-0.5%,worse,45,2008-11-06 13:30:00+00:00,-24.14,2008,4,11,Thursday
481K,USD,2008-11-06 08:30:00,480K,accurate,Medium,Unemployment Claims,485K,worse,45,2008-11-06 13:30:00+00:00,-0.21,2008,4,11,Thursday
12B,USD,2008-11-06 10:35:00,25B,accurate,Low,Natural Gas Storage,46B,accurate,45,2008-11-06 15:35:00+00:00,52.0,2008,4,11,Thursday
-240K,USD,2008-11-07 08:30:00,-200K,worse,High,Non-Farm Employment Change,-284K,worse,45,2008-11-07 13:30:00+00:00,20.0,2008,4,11,Friday
6.5%,USD,2008-11-07 08:30:00,6.3%,worse,High,Unemployment Rate,6.1%,accurate,45,2008-11-07 13:30:00+00:00,-3.17,2008,4,11,Friday
0.2%,USD,2008-11-07 08:30:00,0.2%,accurate,Medium,Average Hourly Earnings m/m,0.2%,accurate,45,2008-11-07 13:30:00+00:00,0.0,2008,4,11,Friday
-0.1%,USD,2008-11-07 10:00:00,0.4%,better,Low,Final Wholesale Inventories m/m,0.6%,better,45,2008-11-07 15:00:00+00:00,125.0,2008,4,11,Friday
-4.6%,USD,2008-11-07 11:30:00,-3.4%,worse,High,Pending Home Sales m/m,7.5%,accurate,45,2008-11-07 16:30:00+00:00,35.29,2008,4,11,Friday
6.9B,USD,2008-11-07 15:00:00,-0.3B,better,Low,Consumer Credit m/m,-6.3B,better,45,2008-11-07 20:00:00+00:00,-2400.0,2008,4,11,Friday
