,datetime,new_id,forecast_error_ratio,forecast_error_ratio_zscore,previous_error_ratio,total_error_ratio,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,num_news
1411,2009-10-14 10:00:00,5,175.0,3.5013486000949863,20.0,195.0,3.4047243631177926,0,2,0,0,2,0,0,0,1,1
1412,2009-10-15 08:28:00,21,180.22,0.1500499583673605,0.0,180.22,0.1500499583673605,0,2,0,2,0,0,0,0,1,1
1414,2009-10-15 10:00:00,53,-13.0,-1.2629089734657193,0.0,-13.0,-1.2629089734657193,0,0,2,2,0,0,0,0,1,1
1415,2009-10-15 10:30:00,46,-5.45,-0.26070986471387025,0.0,-5.45,-0.26070986471387025,1,0,0,1,0,0,0,1,0,1
1416,2009-10-15 11:00:00,18,120.0,1.1423683198166112,0.0,120.0,1.1423683198166112,2,0,0,2,0,0,0,0,1,1
1417,2009-10-16 09:00:00,66,14.940000000000001,-0.04169299858076601,0.0,14.940000000000001,-0.03315448710539811,3,0,0,3,0,0,1,0,0,1
1419,2009-10-16 09:55:00,58,-11.42,-0.7148273213775722,9.4,-2.0199999999999996,-0.11048412801829785,0,0,2,0,2,0,0,0,1,1
1420,2009-10-16 15:30:00,25,-15.24,-1.2900640251422024,0.0,-15.24,-1.2900640251422024,0,0,2,2,0,0,0,0,1,1
1421,2009-10-19 13:00:00,44,-10.0,-0.9111719299515538,0.0,-10.0,-0.9111719299515542,0,0,1,1,0,0,0,1,0,1
1423,2009-10-21 10:30:00,18,-88.88,0.5851409864828148,0.0,-88.88,0.5851409864828148,2,0,0,2,0,0,0,0,1,1
1424,2009-10-22 08:30:00,69,-8.73,-2.9230696309094255,-3.51,-12.24,-3.11260841019488,0,0,3,0,0,3,1,0,0,1
1426,2009-10-22 10:30:00,46,18.18,1.2712466315388904,0.0,18.18,1.2712466315388904,1,0,0,1,0,0,0,1,0,1
1427,2009-10-23 10:00:00,23,11.16,2.4391502698310137,0.6000000000000001,11.76,2.681798795709653,0,3,0,3,0,0,1,0,0,1
1428,2009-10-27 09:00:00,65,10.08,0.13943621803250056,0.0,10.08,0.3053381509660423,0,2,0,2,0,0,0,0,1,1
1431,2009-10-28 10:00:00,47,-27.78,-3.332514528626964,-8.399999999999999,-36.18,-3.2267859007644106,0,0,3,0,0,3,1,0,0,1
1432,2009-10-28 10:30:00,18,100.0,0.8243802862336324,0.0,100.0,0.8243802862336324,2,0,0,2,0,0,0,0,1,1
1434,2009-10-29 10:30:00,46,7.41,0.5601261881920739,0.0,7.41,0.5601261881920739,1,0,0,1,0,0,0,1,0,1
1436,2009-10-30 09:45:00,10,22.14,2.1906184174361183,0.0,22.14,2.1906184174361183,0,2,0,2,0,0,0,0,1,1
1437,2009-10-30 09:55:00,63,-1.42,-2.659510890780273,11.16,9.74,0.3202844620328893,2,0,0,2,0,0,0,0,1,1
1439,2009-11-03 00:00:00,67,8.25,0.5666371557064688,0.0,8.25,0.5666371557064688,0,1,0,1,0,0,0,1,0,1
1440,2009-11-03 10:00:00,24,-36.36,0.3801058100281697,0.0,-36.36,0.21831144346414807,0,0,2,2,0,0,0,0,1,1
1441,2009-11-04 08:15:00,0,-23.94,2.7425985817590854,31.89,7.950000000000001,4.079080745710746,0,0,3,0,3,0,1,0,0,1
1442,2009-11-04 10:00:00,40,-5.82,-1.979521195497707,0.0,-5.82,-1.979521195497707,0,0,3,3,0,0,1,0,0,1
1443,2009-11-04 10:30:00,18,670.58,3.138739558877768,0.0,670.58,3.138739558877768,2,0,0,2,0,0,0,0,1,1
1444,2009-11-04 14:19:00,26,0.0,0.0,0.0,0.0,0.0,3,0,0,3,0,0,1,0,0,1
1446,2009-11-05 10:30:00,46,3.33,0.19318314297295872,0.0,3.33,0.19318314297295872,1,0,0,1,0,0,0,1,0,1
1448,2009-11-06 10:00:00,31,0.0,-0.7414670757673577,0.0,0.0,-0.7442715758623139,1,0,0,1,0,0,0,1,0,1
1449,2009-11-06 15:00:00,12,-49.49,0.3677657385160949,17.5,-31.99,0.4804462308994649,0,0,1,0,1,0,0,1,0,1
1450,2009-11-10 10:00:00,37,-4.77,-0.3297693340282392,0.0,-4.77,-0.3297693340282393,0,0,1,1,0,0,0,1,0,1
1451,2009-11-12 08:30:00,69,5.85,2.0957093466546337,-1.17,4.68,2.073052495870457,0,3,0,3,0,0,1,0,0,1
1452,2009-11-12 11:00:00,18,-250.0,-2.0726603825141754,0.0,-250.0,-2.0726603825141754,2,0,0,2,0,0,0,0,1,1
1453,2009-11-12 14:00:00,25,-31.34,-1.8994772982040529,0.0,-31.34,-1.8994772982040529,0,0,2,2,0,0,0,0,1,1
1455,2009-11-13 09:55:00,58,-21.509999999999998,-1.0854338345205357,5.1899999999999995,-16.32,-1.5735666698537591,0,0,3,0,3,0,1,0,0,1
1456,2009-11-13 10:30:00,46,-47.06,-1.6837555990384498,0.0,-47.06,-1.6837555990384498,1,0,0,1,0,0,0,1,0,1
1458,2009-11-16 10:00:00,5,-85.72,-2.734612171990958,13.34,-72.38,-3.030521819938043,0,0,2,0,2,0,0,0,1,1
1460,2009-11-17 09:00:00,66,147.24,0.1892995296795032,58.739999999999995,205.98,0.3995787994793038,0,3,0,0,3,0,1,0,0,1
1462,2009-11-17 13:00:00,44,-10.53,-1.061237931985507,-5.56,-16.09,-1.3569239283875618,0,0,1,0,0,1,0,1,0,1
1464,2009-11-18 10:30:00,18,425.0,1.351154693152961,0.0,425.0,1.351154693152961,2,0,0,2,0,0,0,0,1,1
1465,2009-11-19 08:30:00,69,-1.2000000000000002,-0.33261589217007687,-1.7999999999999998,-3.0,-0.41640332496299326,3,0,0,3,0,0,1,0,0,1
1467,2009-11-19 10:30:00,46,4.76,0.2917758381662985,0.0,4.76,0.2917758381662985,1,0,0,1,0,0,0,1,0,1
1468,2009-11-23 10:00:00,23,20.490000000000002,3.1045201669522715,-1.62,18.87,2.9567564433401876,0,3,0,0,0,3,1,0,0,1
1470,2009-11-24 09:00:00,65,-6.6,-3.4421592493695776,0.0,-6.6,-3.435642922761752,0,0,2,2,0,0,0,0,1,1
1471,2009-11-24 09:59:00,64,-90.0,-1.1484096048876544,0.0,-90.0,-1.1484096048876544,0,0,1,1,0,0,0,1,0,1
1474,2009-11-25 09:55:00,63,-0.9,-1.6354346522485075,13.04,12.139999999999997,0.4914251017513617,2,0,0,2,0,0,0,0,1,1
1475,2009-11-25 10:00:00,47,16.169999999999998,1.0716707627928321,2.25,18.419999999999998,1.038627088820029,0,3,0,0,3,0,1,0,0,1
