,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_0_30_after,pips_agg_0_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_90_after,direction_agg_0_90_after
93,2007-07-13 10:00:00,28,2.41,1,1.14,2,0,1,0,0,1,0,1,2007,28,4,1,9,-11,-9,10,-5,6,4,-5,2,3,-2,3,3,-2,0,2,-3,-1,14,0,23,0,-14,1
94,2007-07-17 08:30:00,23,-1.15,2,0.0,0,0,0,1,1,0,0,1,2007,29,1,1,11,1,0,3,0,1,14,13,13,4,10,-3,3,9,-2,2,8,-1,21,8,14,0,4,1
95,2007-07-17 09:00:00,30,1.55,1,-0.33,1,0,1,0,0,0,1,1,2007,29,1,1,4,-6,-3,5,-3,3,4,-6,-2,3,-7,-1,3,-5,2,4,-10,-4,9,-3,21,9,2,1
96,2007-07-18 08:30:00,7,0.08,0,0.04,0,1,0,0,1,0,0,1,2007,29,2,1,11,-12,-11,12,-22,-9,10,-26,1,9,-26,2,7,-19,6,7,-22,-3,27,-18,19,3,-4,1
97,2007-07-25 10:00:00,14,-0.39,0,-0.35,0,0,0,1,1,0,0,1,2007,30,2,1,17,-3,-2,22,-15,-11,11,-10,5,10,-14,-3,10,-15,0,11,-15,0,29,-14,27,-10,-24,0
98,2007-07-26 08:30:00,8,-0.62,0,0.9,0,0,0,1,0,1,0,1,2007,30,3,1,15,-3,-1,9,-5,0,9,-4,-1,9,-5,-2,9,-9,-4,9,-6,2,17,-6,41,30,-1,1
99,2007-07-26 10:00:00,21,-0.61,0,-0.86,0,0,0,1,0,0,1,1,2007,30,3,1,21,13,11,19,3,-10,13,2,0,8,2,-2,13,8,5,12,2,-5,27,5,39,4,-9,1
100,2007-07-27 08:30:00,1,1.0,0,-0.6,0,0,1,0,0,0,1,1,2007,30,4,1,14,4,3,18,15,10,10,18,4,10,18,0,12,13,-4,12,6,-7,27,12,23,11,7,1
101,2007-07-31 08:30:00,9,-1.0,0,0.04,0,0,0,1,1,0,0,1,2007,31,1,1,10,-3,-1,9,-5,-3,10,-10,-4,7,-10,-1,8,-13,-3,10,-10,2,21,-10,22,8,-10,1
102,2007-07-31 10:00:00,4,2.78,1,1.05,0,0,1,0,0,1,0,1,2007,31,1,1,10,-3,-2,9,-7,-5,12,-14,-7,12,-13,-2,12,-13,-1,12,-17,-1,27,-15,20,-1,-7,1
103,2007-08-01 10:00:00,17_24,1.0299999999999998,2,-0.55,0,0,1,1,1,0,1,2,2007,31,2,2,9,-6,-6,12,3,9,12,4,2,14,10,6,11,14,5,12,10,-4,22,14,14,7,-16,0
104,2007-08-03 08:30:00,22_33,-0.6399999999999999,1,-0.3,0,0,0,2,2,0,0,2,2007,31,4,2,29,24,23,10,21,-4,15,11,-10,20,11,0,8,13,2,10,15,1,29,13,39,2,52,2
105,2007-08-03 10:00:00,18,-1.11,0,0.0,0,0,0,1,1,0,0,1,2007,31,4,1,11,1,-1,10,-2,-3,9,-3,0,9,2,3,20,16,13,21,31,15,41,14,39,26,23,2
106,2007-08-07 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,32,1,1,19,-3,-2,13,2,7,17,11,8,15,19,8,17,28,8,10,20,-8,37,29,20,-3,10,1
107,2007-08-13 08:30:00,10_29,0.8800000000000001,0,2.1,0,1,1,0,0,2,0,2,2007,33,0,2,20,6,7,12,2,-3,8,5,1,8,4,4,9,6,3,8,2,-3,20,6,20,4,-1,1
108,2007-08-14 08:30:00,31_23,1.9700000000000002,0,1.11,0,0,2,0,1,1,0,2,2007,33,1,2,12,-7,-7,13,-10,-3,9,-5,4,10,-5,0,12,-14,-9,13,-14,-3,21,-11,22,4,-6,1
109,2007-08-15 08:30:00,7,0.05,0,0.0,0,1,0,0,1,0,0,1,2007,33,2,1,11,-4,-4,9,-3,2,8,-6,-3,11,-5,1,17,-16,-10,13,-13,5,24,-18,19,8,4,1
