,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_30_after,direction_agg_0_30_after
119,2007-04-03 01:00:00,67,-0.1,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,1,1,4,1,-1,1
120,2007-04-03 10:00:00,50,1.0,0,-0.1,0,0,1,0,1,0,0,1,0,0,2007,14,1,1,12,0,0,1
121,2007-04-04 08:15:00,0,-19.0,0,1.0,0,0,0,1,0,1,0,1,0,0,2007,14,2,1,12,4,-3,1
122,2007-04-04 10:00:00,24_40,-3.3,0,-0.1,0,0,0,2,2,0,0,1,0,1,2007,14,2,2,20,-5,14,2
123,2007-04-04 10:30:00,18,1.09,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,2,1,28,14,1,1
124,2007-04-05 08:30:00,69,0.84,0,1.41,0,0,0,1,1,0,0,0,1,0,2007,14,3,1,22,9,6,1
125,2007-04-05 10:30:00,46,1.44,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,3,1,16,5,2,1
126,2007-04-06 08:30:00,48_70_3,0.8,0,1.0,0,1,2,0,2,1,0,2,0,1,2007,14,4,3,53,-5,-32,0
127,2007-04-06 10:00:00,31,1.0,0,-0.1,0,0,0,1,0,1,0,0,1,0,2007,14,4,1,16,-5,-3,1
128,2007-04-06 15:00:00,12,-2.5,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,14,4,1,8,4,-1,1
129,2007-04-10 10:00:00,37,-4.5,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,15,1,1,15,1,2,1
130,2007-04-11 10:30:00,18,-0.23,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,2,1,12,2,7,1
131,2007-04-11 14:00:00,25,-6.3,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,15,2,1,18,-5,-11,0
132,2007-04-12 08:30:00,69_41,4.029999999999999,1,2.14,0,0,1,1,2,0,0,0,1,1,2007,15,3,2,11,1,-10,0
133,2007-04-12 10:30:00,46,1.49,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,3,1,22,13,9,1
134,2007-04-13 08:30:00,68_49_16,1.8,0,1.0,0,0,2,1,3,0,0,2,0,1,2007,15,4,3,20,-9,6,1
135,2007-04-13 10:00:00,58,-2.2,0,-0.4,0,0,0,1,1,0,0,1,0,0,2007,15,4,1,20,8,-5,1
136,2007-04-16 08:30:00,17_60_21,-2.7,0,2.0,0,1,1,1,1,2,0,2,0,1,2007,16,0,3,15,-9,6,1
137,2007-04-16 09:00:00,66,-22.4,0,1.0,0,0,0,1,1,0,0,1,0,0,2007,16,0,1,21,2,-3,1
138,2007-04-16 10:00:00,5,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,16,0,1,14,-2,2,1
139,2007-04-16 13:00:00,44,-3.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,16,0,1,7,1,1,1
140,2007-04-17 08:30:00,13_4_8_36,1.9,0,-0.02,0,2,1,1,4,0,0,1,0,3,2007,16,1,4,27,3,40,2
141,2007-04-17 09:15:00,9_42,-1.0,0,-0.6000000000000001,0,0,0,2,0,0,2,0,0,2,2007,16,1,2,52,35,-5,1
142,2007-04-18 10:30:00,18,-0.6,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,2,1,17,-3,-1,1
143,2007-04-19 08:30:00,69,0.92,1,1.0,0,0,0,1,1,0,0,0,1,0,2007,16,3,1,18,6,-5,1
144,2007-04-19 10:00:00,7,-0.1,0,-0.1,0,0,0,1,0,0,1,0,1,0,2007,16,3,1,15,-4,10,2
145,2007-04-19 10:30:00,46,0.56,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,3,1,25,9,7,1
146,2007-04-19 12:00:00,53,-2.3,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,16,3,1,14,-3,-3,1
147,2007-04-24 09:00:00,65,0.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,17,1,1,11,-4,7,1
148,2007-04-24 10:00:00,64_23_6,-5.43,0,0.99,0,0,0,3,2,1,0,2,1,0,2007,17,1,3,29,6,36,2
149,2007-04-25 08:30:00,14_20,2.0,0,-0.4,0,0,2,0,1,0,1,1,0,1,2007,17,2,2,21,-9,-8,1
